Designator,Mid X,Mid Y,Rotation,Layer
D22,72.25,61.05,90.0,top
D23,70.75,61.05,90.0,top
D24,19.3,8.0,0.0,top
D25,19.3,6.5,0.0,top
D26,19.3,5.0,0.0,top
D27,19.3,3.5,0.0,top
D28,19.3,2.0,0.0,top
D3,36.05,59.65,180.0,top
D30,20.000001,13.0,270.0,top
D31,18.499998,13.0,270.0,top
D32,17.0,13.0,270.0,top
D33,15.5,13.0,270.0,top
D34,14.0,13.0,270.0,top
D35,12.499999,13.0,270.0,top
D36,11.000001,13.0,270.0,top
D37,9.499998,13.0,270.0,top
D4,21.15,59.75,0.0,top
D5,23.95,59.65,0.0,top
D6,26.05,59.65,180.0,top
D7,54.5,59.95,90.0,bottom
D8,61.95,64.2,90.0,bottom
D9,42.2,57.7,180.0,bottom
FB1,20.6,27.4,270.0,bottom
FB2,19.85,23.55,180.0,bottom
FB3,64.25,30.85,90.0,top
FB4,32.85,58.0,0.0,bottom
FB5,22.8,58.0,0.0,bottom
FB6,5.45,47.15,0.0,bottom
FB7,46.2,48.85,270.0,bottom
FB8,75.4,22.0,0.0,bottom
FB9,65.8,57.7,270.0,top
J1,75.8,33.0,270.0,bottom
J2,10.0,59.055,0.0,top
J3,35.0,66.5,180.0,top
J4,25.0,66.5,180.0,top
J6,40.0,4.2,180.0,top
L1,68.4,36.15,90.0,top
L2,54.5,33.95,90.0,top
L3,54.5,42.95,90.0,top
L4,70.325,16.95,270.0,top
PB1,65.0,4.0,180.0,top
PB2,3.0,13.0,90.0,top
Q1,61.0,8.0,0.0,bottom
Q2,55.55,4.3,0.0,bottom
Q3,11.3,5.937499,0.0,bottom
Q4,16.4,5.95,0.0,bottom
Q5,11.3,2.187499,0.0,bottom
Q6,16.4,2.2,0.0,bottom
R1,17.25,43.7,180.0,top
R10,78.35,56.250001,90.0,top
R100,61.15,4.75,270.0,bottom
R101,62.15,4.75,270.0,bottom
R102,60.949999,11.0,180.0,top
R103,58.1,6.8,270.0,bottom
R104,24.499999,1.499999,180.0,bottom
R105,24.499999,2.8,180.0,bottom
R106,61.95,18.7,180.0,top
R107,24.499999,4.1,180.0,bottom
R108,24.499999,5.350001,180.0,bottom
R11,56.6,29.8,90.0,top
R110,58.1,4.8,90.0,bottom
R111,78.45,16.05,90.0,top
R112,53.949999,6.65,180.0,bottom
R113,72.25,20.65,0.0,bottom
R114,63.15,18.7,270.0,bottom
R115,70.5,21.1,90.0,bottom
R116,63.6,17.15,0.0,bottom
R117,63.7,4.75,270.0,bottom
R118,70.85,10.0,180.0,bottom
R119,32.45,2.35,0.0,bottom
R12,58.325,30.25,180.0,top
R120,58.6,20.85,0.0,bottom
R121,72.85,10.0,0.0,bottom
R122,67.2,7.1,0.0,bottom
R123,63.3,9.55,270.0,bottom
R124,66.6,10.0,180.0,bottom
R125,75.9,10.25,180.0,bottom
R126,64.8,1.7,0.0,bottom
R127,69.2,1.7,180.0,bottom
R128,67.0,1.7,0.0,bottom
R129,69.4,7.1,0.0,bottom
R13,60.05,31.3,270.0,top
R130,69.4,8.4,0.0,bottom
R14,61.15,31.3,90.0,top
R143,39.75,10.0,180.0,bottom
R147,45.75,9.0,180.0,bottom
R15,57.349999,39.35,180.0,top
R151,4.75,19.600001,0.0,bottom
R152,4.75,20.85,0.0,bottom
R153,4.75,22.15,0.0,bottom
R154,4.75,23.4,0.0,bottom
R155,4.75,24.650001,0.0,bottom
R156,4.75,25.75,0.0,bottom
R157,7.25,23.399999,0.0,bottom
R158,48.75,12.0,180.0,bottom
R159,48.75,11.0,180.0,bottom
R16,59.349999,39.35,0.0,top
R160,48.75,10.0,180.0,bottom
R162,7.25,22.15,0.0,bottom
R163,7.25,20.85,0.0,bottom
R164,7.25,19.6,0.0,bottom
R165,42.75,13.0,180.0,bottom
R166,42.75,12.0,180.0,bottom
R167,42.75,11.0,180.0,bottom
R169,42.75,9.0,180.0,bottom
R17,38.5,25.625,180.0,bottom
R170,42.75,8.0,180.0,bottom
R171,42.75,7.0,180.0,bottom
R172,42.75,6.0,180.0,bottom
R173,36.75,13.0,180.0,bottom
R174,36.75,12.0,180.0,bottom
R175,36.75,11.0,180.0,bottom
R176,36.75,10.0,180.0,bottom
R177,36.75,9.0,180.0,bottom
R178,36.75,8.0,180.0,bottom
R179,36.75,7.0,180.0,bottom
R18,1.8,38.6,270.0,top
R180,36.75,6.0,180.0,bottom
R181,67.25,46.4,270.0,top
R182,66.55,42.0,180.0,top
R183,64.15,46.4,270.0,top
R184,63.450001,42.0,180.0,top
R185,70.95,57.0,270.0,top
R186,72.05,57.0,270.0,top
R187,69.85,45.2,0.0,bottom
R188,69.85,46.5,0.0,bottom
R189,69.55,60.55,270.0,top
R190,73.4,60.55,270.0,top
R191,19.3,8.0,180.0,bottom
R192,19.3,6.5,180.0,bottom
R193,19.3,5.0,180.0,bottom
R194,19.3,3.5,180.0,bottom
R195,19.3,2.0,180.0,bottom
R197,8.85,5.5,90.0,bottom
R198,13.95,5.5,90.0,bottom
R199,8.85,1.737499,90.0,bottom
R2,18.6,48.75,0.0,top
R200,13.95,1.75,90.0,bottom
R203,20.0,10.500001,90.0,bottom
R204,18.5,10.500001,90.0,bottom
R205,17.0,10.500001,90.0,bottom
R206,15.5,10.500001,90.0,bottom
R207,14.0,10.500001,90.0,bottom
R208,12.5,10.500001,90.0,bottom
R209,11.0,10.500001,90.0,bottom
R21,55.95,38.65,180.0,bottom
R210,9.5,10.500001,90.0,bottom
R212,9.900001,14.55,90.0,bottom
R213,49.1,55.761092,90.0,bottom
R214,47.838909,55.761092,90.0,bottom
R215,54.5,58.1,270.0,bottom
R216,61.95,59.3,270.0,bottom
R217,55.8,57.07381,270.0,bottom
R218,61.95,57.1,90.0,bottom
R22,55.95,37.35,0.0,bottom
R23,59.5,5.45,270.0,top
R24,6.55,17.0,90.0,top
R25,31.6,30.4,270.0,bottom
R26,18.5,39.35,90.0,bottom
R29,21.1,27.25,180.0,top
R3,68.400001,30.85,0.0,top
R38,23.7,18.8,0.0,bottom
R39,21.1,29.0,0.0,top
R4,62.25,23.1,180.0,top
R40,17.95,30.7,90.0,top
R41,35.025,50.6,90.0,top
R42,36.15,50.6,90.0,top
R43,42.575,40.925,270.0,top
R44,35.7,50.0,90.0,bottom
R45,34.6,50.0,90.0,bottom
R46,41.3,52.1,270.0,top
R47,38.5,52.1,90.0,top
R48,35.4,47.0,180.0,bottom
R49,59.2,9.1,270.0,top
R5,71.249999,32.45,180.0,top
R50,52.15,28.0,270.0,top
R51,52.7,30.399999,90.0,top
R52,53.3,27.999999,270.0,top
R53,53.8,30.399999,90.0,top
R54,54.4,28.0,270.0,top
R55,54.9,30.399999,90.0,top
R56,55.5,27.999999,270.0,top
R57,39.5,57.5,270.0,bottom
R58,29.5,57.5,270.0,bottom
R59,3.25,43.5,180.0,bottom
R6,62.4,27.85,0.0,top
R60,3.25,44.5,180.0,bottom
R61,13.25,45.9,270.0,bottom
R63,11.0,61.0,90.0,bottom
R64,9.0,61.0,90.0,bottom
R65,3.25,45.5,0.0,bottom
R66,2.500001,36.5,90.0,bottom
R7,77.25,53.75,0.0,top
R70,3.5,34.0,270.0,bottom
R71,4.5,34.0,270.0,bottom
R72,8.5,36.5,90.0,bottom
R76,9.5,34.0,270.0,bottom
R77,10.5,34.0,270.0,bottom
R79,15.5,36.5,90.0,bottom
R8,73.25,32.45,0.0,top
R80,12.5,34.0,270.0,bottom
R81,14.0,36.5,270.0,bottom
R83,6.5,36.5,90.0,bottom
R85,18.5,36.5,270.0,bottom
R9,68.4,31.95,0.0,top
R90,50.0,45.3,90.0,bottom
R91,48.0,45.3,90.0,bottom
R92,54.7,48.2,180.0,top
R93,54.7,49.3,180.0,top
R94,42.350001,56.4,0.0,bottom
R95,42.350001,55.100001,0.0,bottom
R96,50.299999,62.1,180.0,bottom
R97,50.299999,63.4,180.0,bottom
R98,74.0,28.0,180.0,top
R99,60.15,4.75,270.0,bottom
RN1,21.0,24.25,270.0,top
RN10,30.4,13.0,0.0,bottom
RN11,23.5,13.0,0.0,bottom
RN12,23.5,13.0,180.0,top
RN13,28.1,13.0,0.0,bottom
RN14,28.1,13.0,180.0,top
RN15,25.8,13.0,0.0,bottom
RN16,25.8,13.0,180.0,top
RN9,30.4,13.0,180.0,top
SW1,6.0,21.5,180.0,top
SW2,6.0,28.5,180.0,top
U1,17.9,46.1875,0.0,top
U10,52.0,21.0,90.0,top
U11,55.15,11.45,0.0,bottom
U12,61.85,34.4,180.0,bottom
U13,36.9875,57.0,90.0,bottom
U14,26.9875,57.0,90.0,bottom
U15,9.1,43.6,0.0,top
U16,50.0,50.8,270.0,top
U17,73.5,25.5375,0.0,top
U18,68.9625,15.2,270.0,bottom
U19,67.7,4.35,180.0,bottom
U2,75.8,56.6,270.0,top
U20,65.5,44.0,180.0,top
U21,68.5,53.0,180.0,top
U22,4.75,13.485,180.0,bottom
U3,72.0,34.499999,180.0,top
U4,63.0,25.4875,0.0,top
U5,58.1,32.299999,180.0,top
U6,58.1,41.299999,180.0,top
U7,30.0,22.0,180.0,top
U8,59.0,38.7,270.0,bottom
U9,34.8,44.9,90.0,top
Y1,20.75,31.4,0.0,top
Y2,27.6,31.8,180.0,top
